source,target
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
1,20
1,9
1,21
1,12
1,10
1,18
1,16
1,4
1,13
1,2
1,11
1,5
1,14
1,17
1,8
1,19
2,5
2,18
2,17
2,19
2,12
3,5
3,18
3,17
3,11
3,19
3,10
3,15
3,12
3,16
4,5
4,18
4,17
4,13
4,19
4,14
4,10
4,15
4,16
4,6
4,21
4,7
4,9
5,23
5,26
5,27
5,15
5,16
5,14
5,28
5,25
5,29
5,24
5,13
5,30
5,31
5,32
5,33
5,34
5,8
5,21
5,10
5,9
5,12
5,7
5,35
5,36
6,38
6,19
6,10
6,16
6,7
7,18
7,19
7,10
7,16
8,26
8,14
8,15
8,30
8,21
8,16
8,12
8,20
8,39
9,18
9,17
9,13
9,11
9,19
9,14
9,10
9,15
9,12
9,16
10,18
10,17
10,13
10,11
10,19
10,14
10,21
10,16
10,12
10,15
11,18
11,17
11,19
11,16
11,12
11,15
12,18
12,17
12,19
12,14
12,15
12,30
12,16
13,18
13,17
13,38
13,14
13,16
13,15
13,19
14,26
14,18
14,17
14,21
14,20
14,16
14,15
14,30
15,26
15,18
15,17
15,19
15,30
15,16
16,18
16,17
16,38
16,19
16,21
16,29
17,18
17,19
18,19
20,26
20,21
20,30
21,27
21,35
21,31
22,23
22,24
22,25
23,25
23,24
24,27
26,30
27,32
27,37
27,35
27,28
27,34
27,31
27,36
27,33
27,29
28,35
28,33
28,32
28,31
28,34
28,29
28,37
29,35
29,33
29,32
29,31
29,34
29,37
29,36
31,35
31,33
31,32
31,34
31,36
31,37
32,35
32,33
32,34
33,35
33,37
33,36
33,34
34,35
34,37
34,36
36,37
